get_song_id_decoded,get_duration,get_end_of_fade_in,get_start_of_fade_out,get_key,get_loudness,get_mode,get_tempo,get_time_signature,get_tatums_start_size,get_tatums_start_min,get_tatums_start_max,get_tatums_start_mean,get_tatums_start_var,get_segments_start_size,get_segments_timbre_min,get_segments_timbre_max,get_segments_timbre_mean,get_segments_timbre_var,get_segments_pitches_min,get_segments_pitches_max,get_segments_pitches_mean,get_segments_pitches_var,get_sections_start_size,get_sections_start_var,get_beats_start_size,get_beats_start_var,get_bars_start_size,get_bars_start_var,get_year,get_song_hotttnesss
SOLKBKQ12A8C13400C,204.85179,0.0,204.852,5,-11.14,1,133.428,1,905,0.34295,204.44658,101.75271371270719,0.34295,712,-146.035,194.834,9.79604073033708,793.8889551750732,0.008,1.0,0.3154840823970037,0.08007179890393329,4,5467.1140878499,452,3465.200077178624,452,3465.200077178624,1995,0.5
SOGEQKA12A6D4FA27C,252.08118,0.514,234.887,11,-8.706,0,125.022,4,1021,0.10336,247.69562000000002,125.3442687365328,0.10336,768,-195.826,377.50800000000004,5.832876844618057,1035.7656883447503,0.002,1.0,0.3304188368055556,0.08534511732746643,12,5971.4198939318185,511,5097.385776886124,127,5039.677159090979,2003,0.2707759989463275
SOBJOLG12A8C13CC69,170.05669,0.0,170.05700000000002,9,-9.502,1,72.07300000000001,4,407,0.5023,169.68108,85.11640334152334,0.5023,362,-254.858,152.69899999999998,-10.157290515653775,1386.416906300039,0.001,1.0,0.21666896869244934,0.08492606629304322,4,2074.41178284635,204,2408.163794846686,50,2313.813037612787,2006,0.2707759989463275
SOWWEWC12A6D4F8A87,383.16362999999996,0.35700000000000004,379.246,1,-16.486,1,121.896,4,1553,0.14870999999999998,382.15405,191.1576714294913,0.14870999999999998,2026,-265.603,271.251,9.62694591148404,2686.4512669537626,0.001,1.0,0.4321456071076012,0.09101922016086043,9,13741.20004889442,776,12161.091814540125,193,12035.75547599783,1995,0.2658610492106501
SOJCBAM12A6701FD04,296.85506000000004,19.336,290.482,3,-6.966,1,145.27100000000002,4,1401,3.23782,292.46862999999996,147.62040987152034,3.23782,927,-327.344,397.033,3.158391316073355,1287.6596995920174,0.002,1.0,0.298037126932758,0.09127411431738372,7,4654.468667287535,701,7013.9558882720385,175,6993.523589986004,1998,0.7173916335358762
SOLYAFD12A6702090E,211.59138,0.142,190.769,5,-7.239,1,100.78299999999999,4,707,0.18214,206.71212,102.62193281471005,0.18214,933,-184.38,289.07599999999996,15.79503483386924,1773.742528954485,0.001,1.0,0.3302676848874598,0.09679006401825584,10,4927.242185266341,354,3562.121277020767,88,3520.0258092113045,2005,0.5
SOMLFVN12A8C136135,330.97098,2.148,315.902,7,-16.934,1,101.529,4,2214,0.06135,327.61617,163.42136219060527,0.06135,1093,-284.3,240.563,-12.518284461726136,3218.6108454115342,0.003,1.0,0.2727012808783166,0.0934432431853066,16,8560.513082322086,553,8871.434268654706,137,8740.776074292462,1996,0.2658610492106501
SOXAOIN12A8C138D34,210.46812000000003,0.42100000000000004,191.40200000000002,9,-13.644,1,114.382,4,789,0.47118999999999994,207.16939,103.80821934093788,0.47118999999999994,709,-137.394,188.21,2.5857860836859423,886.7791138312967,0.002,1.0,0.2937314292430653,0.08750347030040204,11,3772.3800783949146,395,3578.532769483031,98,3524.007031291235,1986,0.5
SOKGAEA12AB017F671,276.79302,0.0,271.29,9,-16.21,0,118.23899999999999,4,1070,0.64035,271.74615,136.03753989719624,0.64035,1063,-198.34099999999998,314.033,-6.122921213546567,1761.5059714865024,0.001,1.0,0.2303904045155221,0.08724660299353346,16,6662.2859278957885,535,6147.176445574822,133,6077.923255990686,0,0.5
SOOSLVC12A8C13E51E,327.6273,0.0,309.052,10,-7.144,0,107.32,3,1748,0.25795,324.74974,162.5569036556064,0.25795,1661,-223.273,312.062,4.699778496889424,1308.7450974695496,0.002,1.0,0.3727445314067831,0.09737308916084304,14,9329.949127683256,583,8774.892783671445,193,8654.151498546076,2006,0.4196742788095533
SOCJAYM12A8C138772,298.00444,2.734,293.245,6,-5.16,0,87.74700000000001,4,870,1.26896,296.75192999999996,149.05838233333338,1.26896,1349,-228.454,397.756,1.7966622189276011,2437.89169243347,0.01,1.0,0.3850374969112923,0.08900238437357147,13,7555.808355874694,435,7259.878979993843,105,7200.936139991556,1995,0.6366359710042119
