user_id,song_id,play_count
4e11f45d732f4861772b2906f81a7d384552ad12,SOCGOZK12A8151BD5D,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOEMXXF12A6D4F932C,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOFKEIK12A6310D86A,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOHJIWJ12AB0184EF9,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOINDRZ12A6701DAF6,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOIZLKI12A6D4F7B61,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOJDHGS12A6310D85E,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOJSGWO12AF72A2C49,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOKXYUW12A8C140229,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOLJQBW12A6702187B,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOMKGQN12A8C1339D2,1
4e11f45d732f4861772b2906f81a7d384552ad12,SONQBUB12A6D4F8ED0,3
4e11f45d732f4861772b2906f81a7d384552ad12,SOOBOKE12A8C136227,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOSYMSX12A6310DFE2,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOTEFFR12A8C144765,3
4e11f45d732f4861772b2906f81a7d384552ad12,SOTUHWT12A58A7ABA9,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOUHJKU12AB017DF67,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOYDZUT12A8C13677D,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOYXFLF12A6D4FBF4E,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOZAPQT12A8C142821,1
4e11f45d732f4861772b2906f81a7d384552ad12,SOZCARG12A6D4F74D1,1
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOCQWKZ12A8C13CE4C,10
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOEDCOB12A8C142CBA,2
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOGWPDK12A81C2242F,5
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOJQBVB12A8C142CCE,3
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOPLIYZ12A6D4FBB08,1
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOQTINJ12A58A7DD36,1
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOQYKUT12A8C143BC7,1
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SORRETW12A58A7A840,7
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOSVWIE12A8C143BD4,1
ffdaab327f2fc6b9fa01a4e3e7f41fdd0e468046,SOVNUCB12A6D4F9F24,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOBTDFV12B0B80B789,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOHJIWJ12AB0184EF9,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOHSGTX12A67020685,2
02192554db8fe6d17b6309aabb2b7526a2e58534,SOHYDPA12B0B80B77C,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOIOAIN12A58A7A9A5,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOIPZYI12A8C139CD9,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOJHMFW12B0B80B79B,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOLXDDC12A6701FBFD,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOMKGQN12A8C1339D2,1
02192554db8fe6d17b6309aabb2b7526a2e58534,SOVKTCY12A6310E1CC,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOAOPCG12AC468D27E,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOEHTZE12A6310F0F2,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOEMXXF12A6D4F932C,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOFBBXV12A81C21835,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOIZLKI12A6D4F7B61,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOJDXQI12AF72A580E,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SORJVDO12AF72A1970,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SORLLRN12A58A7F1EE,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SORTPHZ12A8C13D374,2
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOWGWCP12A6D4F860D,1
6ff5f3621d592b8c8f0b56bddd900a66a44909ad,SOWJCAE12AC46887E7,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOAXAPU12A67020EF9,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOEDCOB12A8C142CBA,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOGXSWA12A6D4FBC99,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOHOOXT12A67ADA073,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOIFHON12AB0185C5F,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOINDRZ12A6701DAF6,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOITBNC12AF72A0B2A,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOITFPA12A670201C6,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOJCUFH12AB0186BF1,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOLOYFG12A8C133391,1
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOLTIVF12AAFF43797,8
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOPGSBP12A6701F741,6
81fb7f3d2dde170e8d614a71f9a3ed3ea9e85e0b,SOWNOXA12AB0184353,1
043d81932e75d5749ed5758d6420506e7bc457a5,SOAKDLX12A67ADAFC5,3
043d81932e75d5749ed5758d6420506e7bc457a5,SODWXQV12A6310F10D,1
043d81932e75d5749ed5758d6420506e7bc457a5,SOHTQAS12A6701C7BA,2
043d81932e75d5749ed5758d6420506e7bc457a5,SOHTWLT12A8C13CFE1,1
043d81932e75d5749ed5758d6420506e7bc457a5,SOIZLKI12A6D4F7B61,1
043d81932e75d5749ed5758d6420506e7bc457a5,SOKJITL12AB017E7FF,2
043d81932e75d5749ed5758d6420506e7bc457a5,SOLTIVF12AAFF43797,1
043d81932e75d5749ed5758d6420506e7bc457a5,SOMMJVR12A6D4F98E0,1
043d81932e75d5749ed5758d6420506e7bc457a5,SOQJPYF12AF72AA8E2,2
043d81932e75d5749ed5758d6420506e7bc457a5,SOQPTOJ12AB017DE93,1
043d81932e75d5749ed5758d6420506e7bc457a5,SOSQIHH12A8C13370B,5
043d81932e75d5749ed5758d6420506e7bc457a5,SOTBYJX12AB0188922,2
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOBEVGM12A67ADBCA7,2
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOCGOZK12A8151BD5D,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOISFRK12A6D4F573D,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOJZBCP12A67ADA093,3
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOLSJHM12A8C139B46,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOPRYHK12A8AE47858,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOQLNEY12B0B8062FA,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SORLLRN12A58A7F1EE,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOTPQFM12AB017AC9E,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOWPSXC12A6D4FB04D,1
